id,name,code,lon,lat
314,4511-ATALAYAS-EURO P1,4511,38.337981147,-0.572412998
315,4512-ATALAYAS-LIBRA,4512,38.337813417,-0.564765134
316,4513-LO XEPERUT,4513,38.33846701,-0.598606294
317,3222-EL REBOLLEDO-AUTOVÍA,3222,38.341291843,-0.603226522
318,3223-EL REBOLLEDO-GASOLINERA,3223,38.342485051,-0.607820729
319,3224-EL REBOLLEDO-GRANADINOS,3224,38.34383224,-0.612021033
320,3225-EL REBOLLEDO-CORREOS,3225,38.344719522,-0.614440305
321,3226-EL REBOLLEDO-RESTAURANTE,3226,38.34574498,-0.617896275
322,3227-EL REBOLLEDO-CORREOS,3227,38.344602929,-0.614467015
323,3228-EL REBOLLEDO-GRANADINOS,3228,38.343821457,-0.6123760620000001
324,3229-EL REBOLLEDO-GASOLINERA,3229,38.341977087,-0.6067734540000001
325,3230-EL REBOLLEDO-AUTOVÍA,3230,38.341164376,-0.603162082
329,4517-ATALAYAS-PESETA,4517,38.342197746,-0.564149142
333,4521-CENTRO PENITENCIARIO,4521,38.348867054,-0.561190936
334,4522-CARRETERA DE BACAROT,4522,38.343406806,-0.54351478
335,4523-MERCALICANTE,4523,38.343747816,-0.538297574
336,4524-PLA DE L'ESPARTAL,4524,38.344359678,-0.52841459
337,2999-RAMBLA-SAN FERNANDO,2999,38.34407222222222,-0.4829749999999999
338,4600-RAMBLA-SAN JOSÉ,4600,38.345381378,-0.483724627
339,2904-ALCOY-AUDITORIO,2904,38.355452942,-0.487826908
340,2905-ALCOY-PARQUE DUVAL,2905,38.357642588,-0.489513398
341,2906-CONDE LUMIARES,2906,38.360325763,-0.491526241
342,2907-NOVELDA-GRAN VÍA,2907,38.362697397,-0.493298218
343,2908-NOVELDA-GASOLINERA,2908,38.364171961,-0.494414611
344,2909-NOVELDA-IGLESIA,2909,38.366383156,-0.4958489689999999
345,2910-NOVELDA-JARALES,2910,38.368534159,-0.496575902
346,2911-NOVELDA-PENÀGUILA,2911,38.372145027,-0.4977332430000001
347,2912-NOVELDA-BERNÁCER,2912,38.374224236,-0.498474202
348,2979-CLOT,2979,38.374800707,-0.495936229
349,3581-C.P. LUCENTUM,3581,38.374494759,-0.493428697
350,2980-VIRGEN DEL REMEDIO-PÉREZ MIRETE,2980,38.374283578,-0.491982372
351,3555-C.P. LUCENTUM,3555,38.374897721,-0.493311765
352,3557-C. SALUD CIUDAD JARDÍN,3557,38.375579088,-0.495256944
353,4652-CIUDAD JARDÍN (TRAM),4652,38.375836515,-0.497182445
354,2936-NOVELDA-BERNÁCER,2936,38.373429707,-0.498398579
355,2938-NOVELDA-JARALES,2938,38.368982922,-0.496915218
356,2939-NOVELDA-IGLESIA,2939,38.365841954,-0.495821861
357,2940-NOVELDA-GASOLINERA,2940,38.363745849,-0.494291988
358,2941-NOVELDA-GRAN VÍA,2941,38.362491535,-0.493362546
359,2942-CONDE LUMIARES,2942,38.360787951,-0.4920710119999999
360,2943-ALCOY-PARQUE DUVAL,2943,38.356970921,-0.489284873
361,2944-ALCOY-AUDITORIO,2944,38.354735272,-0.487554226
362,4630-POLICÍA LOCAL BENISAUDET,4630,38.365234306,-0.490166409
363,4908-UNICEF,4908,38.366425373,-0.491086569
364,4603-PARQUE LO MORANT,4603,38.367905472,-0.491619093
365,4604-C.P. LO MORANT,4604,38.370957905,-0.4927840230000001
366,4621-C.P. LA PAZ,4621,38.373003214,-0.492782034
367,3562-PL. ARGEL-VALLE-INCLÁN,3562,38.373987,-0.491871
368,3563-VALLE-INCLÁN-IGLESIA,3563,38.373968613,-0.489898682
369,4142-VILLA DE CHIVA,4142,38.373305904,-0.4879872889999999
370,4606-LUGO,4606,38.371951475,-0.489533526
371,4607-PABLO NERUDA,4607,38.37161285,-0.491811428
372,4906-C.P. LO MORANT,4906,38.370444694,-0.492801752
373,4602-PLAZA MEDITERRÁNEO,4602,38.3688467729159,-0.49246210216182834
374,4909-UNICEF,4909,38.366157222,-0.491187394
375,4910-GRAN VÍA-BENISAUDET,4910,38.364233113,-0.48969748
376,4762-NACIONES-HOLANDA (TRAM),4762,38.368609999,-0.420362003
377,4758-V. RAMOS-RIGUAL,4758,38.368344742,-0.422637489
378,4727-V. RAMOS-PASTOR,4727,38.366972099,-0.4278248250000001
379,4728-SERGIO CARDELL (TRAM),4728,38.365443134,-0.432468171
380,4729-MIRIAM BLASCO (TRAM),4729,38.368522864,-0.434854191
381,4730-TORRE SARRIÓ,4730,38.369797611,-0.435873521
382,4731-OLIMPO,4731,38.36871998,-0.4364495
383,4749-RÓMULO,4749,38.367036135,-0.4381455470000001
384,4734-C.P. LA ALBUFERETA,4734,38.364973608,-0.436536039
385,2725-NASA,2725,38.362825022,-0.434700782
386,2723-IGLESIA DE SANTIAGO,2723,38.362392663,-0.436764507
387,2674-PLAYA ALBUFERETA,2674,38.363404243,-0.442233353
388,2675-LA ISLETA (TRAM),2675,38.363325697,-0.447305813
389,4735-ALBUFERETA-EL GRECO,4735,38.365131672,-0.454108878
390,4736-ALBUFERETA-EL GRECO,4736,38.36509423,-0.458607802
391,2571-DÉNIA-CLÍNICA VISTAHERMOSA,2571,38.362244297,-0.4643036269999999
392,4761-IES EL PLA,4761,38.362221375,-0.468241113
393,4811-BARRIO OBRERO,4811,38.360608191,-0.469476064
394,3550-BULEVAR DEL PLA (TRAM),3550,38.358840484,-0.472318407
395,4738-LA OLIVERA,4738,38.35791041,-0.474730969
396,3551-C.A. MONTEMAR,3551,38.35725263,-0.4764016500000001
397,2900-ESTACIÓN-AVENIDA,2900,38.34479779363083,-0.4942196713706605
398,4700-LA OLIVERA,4700,38.357866258,-0.47435488
399,3567-BULEVAR DEL PLA (TRAM),3567,38.358941731,-0.471582508
400,4810-BARRIO OBRERO,4810,38.360336355,-0.469405435
401,4903-XAVIER SOLER,4903,38.362439837,-0.466677125
402,2510-DÉNIA-JESUITAS,2510,38.361528879,-0.464969467
403,2598-DÉNIA-LAS BRISAS,2598,38.363484064,-0.461639632
404,4703-ALBUFERETA-EL GRECO,4703,38.364974881,-0.458920977
405,4704-ALBUFERETA-EL GRECO,4704,38.365033185,-0.4537232270000001
406,4705-LA ISLETA (TRAM),4705,38.363446663,-0.448308633
407,2612-PLAYA ALBUFERETA,2612,38.362941588,-0.4416774580000001
408,4755-IGLESIA DE SANTIAGO,4755,38.362857838,-0.437022736
411,4709-VILLA ROMANA,4709,38.366743691,-0.434253288
412,4742-SERGIO CARDELL (TRAM),4742,38.365276605,-0.433092053
413,4751-V. RAMOS-ANSALDO,4751,38.365371954,-0.430044499
414,4711-V. RAMOS-PASTOR,4711,38.366568883,-0.427106668
415,4752-V. RAMOS-RIGUAL,4752,38.367824512,-0.422335512
416,4800-IES JAIME II,4800,38.362252548,-0.4705173540000001
417,4801-CRISTÓBAL PARDO,4801,38.362936117,-0.472130023
418,4802-V. REYES,4802,38.364772349,-0.472043187
419,4803-C.C. GRAN VÍA,4803,38.366625332,-0.471063085
420,4812-BELLEA DEL FOC,4812,38.367564,-0.471289
422,5010-PLAZA CASTALLA,5010,38.36970973,-0.471195953
